@a /ei, ə/
@accede /æk'si:d/
@accelerate /æk'seləreit/
@accelerating /æk'seləreitiɳ/
@acceleration /æk'selə'reiʃn/
@accelerative /æk'selərətiv/
@accelerator /æk'seləreitə/
@accent /'æksənt/
@accentor /æk'sentə/
@accentual /æk'sentjuəl/
@accentuate /æk'sentjueit/
@accentuation /æk'sentju'eiʃn/
@accept /ək'sept/
@acceptability /ək,septə'biliti/
@acceptable /ək'septəbl/
@acceptance /ək'septəbl/
@acceptation /,æksep'teiʃn/
@accepted /ək'septid/
@acceptor /ək'septə/
@access /'ækses/
accessary /æk'sesəri/ 
@accessibility /æk,sesi'biliti/
@accessible /æk'sesəbl/
@accession /æk'seʃn/
accessory /æk'sesəri/ 
@accidence /'æksidəns/
@accident /'æksidənt/
@accidental /,æksi'dentl/
@accidentally /,æksi'dentəli/
@accipitral /æk'sipitrəl/
@acclaim /ə'kleim/
@acclamation /,æklə'meiʃn/
@acclamatory /ə'klæmətəri/
acclimatation /ə'klaimətai'zeiʃn/ 
acclimate /ə'klaimətaiz/ 
acclimation /ə'klaimətai'zeiʃn/ 
acclimatise /ə'klaimətaiz/ 
acclimatization /ə'klaimətai'zeiʃn/ 
acclimatize /ə'klaimətaiz/ 
@acclivity /ə'kliviti/
@acclivous /ə'klaivəs/
@accolade /'ækəleid/
@accommodate /ə'kɔmədeit/
@accommodating /ə'kɔmədeitiɳ/
@accommodation /ə,kɔmə'deiʃn/
@accommodation train /ə,kɔmə'deiʃntrein/
@accommodation unit /ə,kɔmə'deiʃn,ju:nit/
@accommodation-ladder /ə,kɔmə'deiʃn-,lædə/
@accompaniment /ə'kʌmpənimənt/
@accompanist /ə'kʌmpənist/
@accompany /ə'kʌmpəni/
@accomplice /ə'kɔmplis/
@accomplish /ə'kɔmpliʃ/
@accomplished /ə'kɔmpiʃt/
@accomplishment /ə'kɔmpliʃmənt/
@accord /ə'kɔ:d/
@accordance /ə'kɔ:dəns/
@accordant /ə'kɔ:dənt/
@according /ə'kɔ:diɳ/
@accordingly /ə'kɔ:diɳ/
@accordion /ə'kɔ:djən/
@accordionist /ə'kɔ:djənist/
@accost /ə'kɔst/
@accouchement /ə'ku:ʃma:ɳ/
@accoucheur /,æku:'ʃə:/
@accoucheuse /,æku:'ʃə:z/
@account /ə'kaunt/
@accountability /ə,kauntə'biliti/
@accountable /ə'kauntəbl/
@accountancy /ə'kauntənsi/
@accountant /ə'kauntənt/
@accountantship /ə'kauntəntʃip/
@accounting /ə'kauntiɳ/
@accoutre /ə'ku:tə/
@accoutrement /ə'ku:təmənt/
@accredit /ə'kredit/
@accredited /ə'kreditid/
@accrescent /ə'kresənt/
@accrete /ə'kri:t/
@accretion /æ'kri:ʃn/
@accretive /æ'kri:tiv/
